"Invoice Date","Capacity Rating","Energy Rating","Invoice Quantity","Sales Zone","Sales Location","Sales Channel","Sales Margin"
"3/14/2023","1","3","5","South","HBI","General Trade","20%"
"3/26/2023","1","3","6","South","HBI","General Trade","20%"
"3/1/2023","1","3","10","South","KCI","General Trade","20%"
"3/1/2023","1","3","10","South","KCI","General Trade","20%"
"3/2/2023","1","3","10","South","KCI","General Trade","20%"
"3/3/2023","1","3","23","South","KCI","General Trade","20%"
"3/3/2023","1","3","1","South","KCI","General Trade","20%"
"3/4/2023","1","3","7","South","KCI","General Trade","20%"
"3/4/2023","1","3","10","South","MDI","General Trade","20%"
"3/4/2023","1","3","25","South","KCI","General Trade","20%"
"3/4/2023","1","3","25","South","KCI","General Trade","20%"
"3/4/2023","1","3","25","South","KCI","General Trade","20%"
"3/4/2023","1","3","50","South","KCI","General Trade","20%"
"3/7/2023","1","3","50","South","KCI","General Trade","20%"
"3/7/2023","1","3","12","South","KCI","General Trade","20%"
"3/8/2023","1","3","25","South","KCI","General Trade","20%"
"3/9/2023","1","3","25","South","KCI","General Trade","20%"
"3/11/2023","1","3","5","South","KCI","General Trade","20%"
"3/11/2023","1","3","11","South","KCI","General Trade","20%"
"3/17/2023","1","3","15","South","KCI","General Trade","20%"
"3/17/2023","1","3","6","South","KCI","General Trade","20%"
"3/17/2023","1","3","10","South","KCI","General Trade","20%"
"3/17/2023","1","3","10","South","KCI","General Trade","20%"
"3/17/2023","1","3","60","South","KCI","General Trade","20%"
"3/17/2023","1","3","2","South","KCI","General Trade","20%"
"3/17/2023","1","3","2","South","KCI","General Trade","20%"
"3/17/2023","1","3","2","South","KCI","General Trade","20%"
"3/17/2023","1","3","2","South","KCI","General Trade","20%"
"3/17/2023","1","3","10","South","KCI","General Trade","20%"
"3/17/2023","1","3","10","South","KCI","General Trade","20%"
"3/17/2023","1","3","20","South","KCI","General Trade","20%"
"3/17/2023","1","3","60","South","KCI","General Trade","20%"
"3/17/2023","1","3","15","South","KCI","General Trade","20%"
"3/17/2023","1","3","5","South","KCI","General Trade","20%"
"3/17/2023","1","3","10","South","KCI","General Trade","20%"
"3/17/2023","1","3","25","South","KCI","General Trade","20%"
"3/17/2023","1","3","6","South","KCI","General Trade","20%"
"3/17/2023","1","3","6","South","KCI","General Trade","20%"
"3/18/2023","1","3","10","South","KCI","General Trade","20%"
"3/18/2023","1","3","5","South","KCI","General Trade","20%"
"3/18/2023","1","3","25","South","KCI","General Trade","20%"
"3/18/2023","1","3","10","South","KCI","General Trade","20%"
"3/18/2023","1","3","10","South","KCI","General Trade","20%"
"3/18/2023","1","3","5","South","KCI","General Trade","20%"
"3/18/2023","1","3","20","South","KCI","General Trade","20%"
"3/18/2023","1","3","5","South","KCI","General Trade","20%"
"3/18/2023","1","3","5","South","KCI","General Trade","20%"
"3/18/2023","1","3","24","South","KCI","General Trade","20%"
"3/18/2023","1","3","5","South","KCI","General Trade","20%"
"3/18/2023","1","3","10","South","KCI","General Trade","20%"
"3/19/2023","1","3","7","South","KCI","General Trade","20%"
"3/19/2023","1","3","15","South","KCI","General Trade","20%"
"3/19/2023","1","3","10","South","KCI","General Trade","20%"
"3/19/2023","1","3","10","South","KCI","General Trade","20%"
"3/19/2023","1","3","8","South","KCI","General Trade","20%"
"3/19/2023","1","3","10","South","KCI","General Trade","20%"
"3/19/2023","1","3","15","South","KCI","General Trade","20%"
"3/20/2023","1","3","10","South","KCI","General Trade","20%"
"3/22/2023","1","3","3","South","KCI","General Trade","20%"
"3/1/2023","1","3","75","South","KCI","General Trade","20%"
"3/2/2023","1","3","10","South","KCI","General Trade","20%"
"3/2/2023","1","3","10","South","KCI","General Trade","20%"
"3/2/2023","1","3","5","South","KCI","General Trade","20%"
"3/3/2023","1","3","15","South","KCI","General Trade","20%"
"3/3/2023","1","3","5","South","KCI","General Trade","20%"
"3/3/2023","1","3","15","South","KCI","General Trade","20%"
"3/4/2023","1","3","10","South","KCI","General Trade","20%"
"3/4/2023","1","3","10","South","KCI","General Trade","20%"
"3/4/2023","1","3","10","South","KCI","General Trade","20%"
"3/4/2023","1","3","25","South","KCI","General Trade","20%"
"3/4/2023","1","3","10","South","KCI","General Trade","20%"
"3/6/2023","1","3","35","South","KCI","General Trade","20%"
"3/9/2023","1","3","5","South","KCI","General Trade","20%"
"3/9/2023","1","3","5","South","KCI","General Trade","20%"
"3/11/2023","1","3","2","South","KCI","General Trade","20%"
"3/11/2023","1","3","5","South","KCI","General Trade","20%"
"3/18/2023","1","3","3","South","KCI","General Trade","20%"
"3/20/2023","1","3","20","South","KCI","General Trade","20%"
"3/20/2023","1","3","20","South","KCI","General Trade","20%"
"3/20/2023","1","3","20","South","KCI","General Trade","20%"
"3/20/2023","1","3","30","South","KCI","General Trade","20%"
"3/20/2023","1","3","1","South","KCI","General Trade","20%"
"3/20/2023","1","3","10","South","KCI","General Trade","20%"
"3/20/2023","1","3","10","South","KCI","General Trade","20%"
"3/20/2023","1","3","15","South","KCI","General Trade","20%"
"3/20/2023","1","3","20","South","KCI","General Trade","20%"
"3/20/2023","1","3","20","South","KCI","General Trade","20%"
"3/22/2023","1","3","10","South","KCI","General Trade","20%"
"3/29/2023","1","3","15","South","KCI","General Trade","20%"
"3/29/2023","1","3","5","South","KCI","General Trade","20%"
"3/29/2023","1","3","20","South","KCI","General Trade","20%"
"3/29/2023","1","3","20","South","KCI","General Trade","20%"
"3/29/2023","1","3","5","South","KCI","General Trade","20%"
"3/30/2023","1","3","40","South","KCI","General Trade","20%"
"3/30/2023","1","3","40","South","KCI","General Trade","20%"
"3/31/2023","1","3","50","South","KCI","General Trade","20%"
"3/31/2023","1","3","25","South","KCI","General Trade","20%"
"3/31/2023","1","3","50","South","KCI","General Trade","20%"
"3/31/2023","1","3","25","South","KCI","General Trade","20%"
"3/31/2023","1","3","15","South","KCI","General Trade","20%"
"3/15/2023","1","3","10","South","MDI","General Trade","20%"
"3/4/2023","1","3","50","North","GZB","General Trade","20%"
"3/6/2023","1","3","36","South","MDI","General Trade","20%"
