Invoice Date,Invoice Quantity,Sales Zone,Sales Location
5/29/2024,10,West,PNE
5/30/2024,150,North,LKW
5/30/2024,150,North,GRN
5/30/2024,150,North,DLI
5/30/2024,150,North,GZB
5/30/2024,120,North,GRN
5/30/2024,80,North,GRN
5/30/2024,160,North,JMU
5/30/2024,200,East,DGP
5/30/2024,5,East,DGP
5/30/2024,200,North,LKW
5/30/2024,120,North,GRN
5/30/2024,30,North,GRN
5/30/2024,50,North,GRN
5/30/2024,150,North,JPR
5/30/2024,50,North,JPR
5/30/2024,20,East,DGP
5/30/2024,20,East,DGP
5/30/2024,5,East,DGP
5/30/2024,10,East,DGP
5/31/2024,150,North,LKW
5/31/2024,150,North,LKW
5/31/2024,150,North,GRN
5/31/2024,200,East,DGP
5/31/2024,150,North,GZB
5/31/2024,20,East,DGP
5/31/2024,20,East,DGP
5/31/2024,20,East,DGP
5/31/2024,10,East,DGP
5/31/2024,5,East,DGP
5/31/2024,10,East,DGP
5/31/2024,10,East,DGP
5/31/2024,200,East,DGP
5/31/2024,150,North,LKW
5/31/2024,50,North,LKW
5/31/2024,200,North,GRN
5/31/2024,150,North,GRN
5/31/2024,50,North,GRN
6/1/2024,200,North,GZB
6/1/2024,150,North,GRN
6/1/2024,100,North,GRN
6/1/2024,150,North,GRN
6/1/2024,150,North,LKW
6/4/2024,100,North,GRN
6/4/2024,150,North,LKW
6/4/2024,24,East,DGP
6/4/2024,90,North,GRN
6/5/2024,200,North,JPR
6/5/2024,150,North,LKW
6/5/2024,50,North,LKW
6/5/2024,200,North,GRN
6/5/2024,200,North,GZB
6/5/2024,150,North,JPR
6/5/2024,200,North,GZB
6/6/2024,150,North,LKW
6/6/2024,8,West,PNE
6/6/2024,13,West,PNE
6/6/2024,20,West,PNE
6/6/2024,10,West,PNE
6/7/2024,20,North,DLI
6/7/2024,20,North,DLI
6/7/2024,15,North,DLI
6/7/2024,20,North,DLI
6/7/2024,7,North,DLI
6/7/2024,20,North,DLI
6/7/2024,8,North,DLI
6/7/2024,20,North,DLI
6/7/2024,200,West,BHP
6/7/2024,120,North,GRN
6/7/2024,80,North,GRN
6/7/2024,100,South,HBI
6/7/2024,14,North,GZB
6/7/2024,200,North,JPR
6/7/2024,5,West,PNE
6/7/2024,20,West,PNE
6/7/2024,15,North,GZB
6/7/2024,15,North,GZB
6/7/2024,20,West,PNE
6/8/2024,200,North,GRN
6/8/2024,17,North,DLI
6/8/2024,3,North,DLI
6/8/2024,10,North,DLI
6/8/2024,13,North,DLI
6/8/2024,10,North,JPR
6/8/2024,5,North,JPR
6/8/2024,150,North,LKW
6/8/2024,10,North,JPR
6/8/2024,7,North,JPR
6/8/2024,20,North,JPR
6/8/2024,20,North,JPR
6/8/2024,20,North,JPR
6/8/2024,12,North,DLI
6/8/2024,200,North,GZB
6/8/2024,150,North,DLI
6/8/2024,3,North,JPR
6/8/2024,10,North,JPR
6/8/2024,10,North,JPR
